id ,farm_id,sonotype ,time ,date ,,,,,,,,,,,,,,,number of bat species ,shannon diversity ,number of shade trees,shannon index shade trees 
,ama_a,QCF_30_40_M,19:55:26,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:55:31,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:55:41,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:00:55,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:05:10,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:05:15,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:05:30,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:05:35,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:05:40,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:05:45,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:10:01,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:10:21,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:10:26,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:10:36,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:10:46,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:10:56,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,CF_FM_61_70_H,20:10:56,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:10:51,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,CF_FM_61_70_H,20:10:51,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:15:00,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:15:05,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,20:15:10,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:15:25,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:15:35,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:15:55,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:20:30,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:20:35,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:20:40,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,20:20:45,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:20:45,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:20:50,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:25:16,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,20:25:56,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:30:00,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:30:40,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:30:35,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:40:05,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_E,20:40:00,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:30:45,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,20:40:30,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:40:30,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:45:01,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:45:06,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:45:11,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:45:16,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_E,20:45:21,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:45:26,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:45:36,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_10_19_MO,20:45:36,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_10_19_MO,20:45:41,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:55:00,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:55:05,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:55:10,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:55:30,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:55:55,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,20:55:35,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:05:05,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:05:10,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:05:15,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:05:35,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:05:40,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:05:45,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:05:50,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:05:55,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_10_19_MO,22:10:00,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_10_19_MO,22:10:05,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_10_19_MO,22:10:10,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,22:10:15,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,22:10:20,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,22:10:40,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_E,22:10:45,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:15:01,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_10_19_MO,22:15:01,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:15:11,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:15:16,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,22:15:26,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,22:15:31,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_E,22:15:36,21/10/2024,,,,,,,,,,,,,,,,,,
